Site,Type,Habitat,Year,Call vulg,Eric cine,Eric tetr,Vacc myrt,Hede heli,Rubu frut,Gali saxa,Nart ossi,Poly serp,Pote erec,R. acetosa,R. acetose,Succ prat ,Trif repe,Vero offi,Viol palu,Digi purp,Oxal acet,Cirs palu,Junc bulb,Junc effu,Junc squa,Luzu mult,Care bine,Care echi,Care nigr,Care puli,Care pcea,Eleo mult,Erio angu,Erio vagi,Tric cesp,Agro cani,Agro capi,Agro stol,Anth odor,Dant decu,Desc flex,Fest rubr,Fest vivi,Moli caer,Nard stri,Holc lana,Blec spic,Dryo aem,Dryo dila,Pter aqui,Athy f-f,Aula palu,Breu chry,Camp flex,Dicr scop,Hylo sple,Hypn cupr,Hypn jutl,Plag undu,Pleu schr,Poly comm,Raco lanu,Rhyt lore,Rhyt squa,Scle puru,Spha capi,Spha cusp,Spha dent,Spha fall,Spha palu,Spha papi,Spha squa,Spha subn,Spha tene,Spha fimb,Spha quin,Spha inun,Thui tama,Kind prae,Mniu horn,Dicr maju,Rhyt triq,Caly muel,Dipl albi,Odon spha,Pleu purp,Scap grac,Loph bide,Scap nemo,Clad port,Clad unci ,Poly juni,Lysi nemo,Stel gram,Stel medi,Stel alsi,Frul tama,Pell epip,Poly form,Eurh stri,Epilobium sp.,Epil pedu,Care dist,Poly vulg,Ranu acri,Ranu repe,Hypo radi,Gali palu,Atri undu,Cera font,Hook luce,Rume obtu,Plagiom undu,Gera robe,Cyno cris,Euph Sali,Tara offi,Chry oppo,Euph offi,Prun vulg,Plan lanc,Isot myos,Dicr hete,Hyme. Sp,Poly pili,Litter,BareSoil,BareRock,SurfaceWater
WD4MinT3,Treatment,Conifer_Mineral,2024,0,0,0,0,0,0,6.95,0,0,2.98,0,0,0,0,0,0,0.1,6.95,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,6.95,9.93,9.93,0,0,0,0,0,0,9.93,2.98,0.1,4.97,0,0.99,0,0,0,0.1,2.98,0.1,0,0,0,6.95,0,9.93,0,0,0,0,0,0.1,0,0,0,0,0,2.98,0,0,2.98,0,0.99,0,2.98,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,4.97,0,0,0
WD4MinC3,Control,Conifer_Mineral,2024,0,0,0,0,0,0,9.86,0,0,2.96,2.96,0,0,0,0,0,0.1,4.93,0,0,2.96,0,0.1,0,0,0,0,0,0,0,0,0,0,9.86,4.93,14.79,0,0,0,0,0,0,9.86,0.1,0.99,0.1,0,0,0,0,0,0,0.99,0,0,0,0,2.96,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,6.9,0,0.99,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,2.96,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,2.96,0,0
WD4MinT4,Treatment,Conifer_Mineral,2024,0.98,0,0,0,0,0,9.84,0,0,4.92,0,0,0,0,0,0,0,0.98,0,0,0.1,0,0,0,4.92,2.95,0,0,0,0,0,0,0,2.95,9.84,4.92,0,0,0,0,6.89,0,0.98,0,0.1,0,0,0.1,0,0,0,0,0.98,0,0,0,0,6.89,0,4.92,0,0,0.98,0,0,19.69,2.95,0,0,4.92,0,2.95,0,0,0.98,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0.98
WD4MinC4,Control,Conifer_Mineral,2024,0.1,0,0,0.1,0,0,9.84,0,0,2.95,0,0,0,0,0,0,0,0,0,0.98,0,0,0.1,0,0.98,0.98,0,0,0,0,0,0,0,4.92,4.92,2.95,0,0,0,0,14.76,0.1,0.98,0.98,0,0.1,0,0,0,0,0,0,0.98,0,0,0,0.98,9.84,0,4.92,0,0,2.95,0,0,14.76,2.95,0,0,4.92,0,2.95,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.95,0,0,2.95
HH1T1,Treatment,Dry_Heath,2024,14.94,4.98,1,0,0,0,1,0,1,2.99,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,24.9,0,0,0,0,0,0,0,0,9.96,0,0,2.99,0,2.99,0,0.1,0,1,0,0,0,9.96,0,0,1,0,0,0,2.99,0,0,0,0,0.1,0,0,0,0,0,0.1,1,0,1,0,0,2.99,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0
HH1C1,Control,Dry_Heath,2024,15,5,3,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,3,1,0,0,20,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
HH1T2,Treatment,Dry_Heath,2024,19.96,9.98,2.99,0,0,0,0,0,0,2.99,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.97,0,0,0,0,0,0,0,0.1,4.99,0,0,2.99,0,2.99,0,1,0,0.1,1,0,0,19.96,0,0,1,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0
HH1C2,Control,Dry_Heath,2024,19.96,6.99,1,0.1,0,0,0,0,1,2.99,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.97,0,0,0,0,0,0,0,1,4.99,0,0,2.99,0,1,0,1,0,2.99,1,0,1,19.96,0,0,0,0,0,0,2.99,1,0,0,0,0,0,0,0,0,0,0,0.1,2.99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,1,1,0
HH1T3,Treatment,Dry_Heath,2024,19.96,9.98,1,0,0,0,0,0,0,1,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.96,0,0,0,0,0,0,0,0,4.99,0,0,1,0,2.99,0,1,0,1,1,0,0.1,14.97,0,0,0.1,0,0,0,4.99,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0
HH1C3,Control,Dry_Heath,2024,19.98,6.99,3,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.97,0,0,0,0,0,0,0,0,5,0,0,3,0,1,0,1,0,1,1,0,0,9.99,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
HH1T4,Treatment,Dry_Heath,2024,19.96,9.98,1,0,0,0,0,0,0,2.99,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.95,0,0,0,0,0,0,0,0,4.99,0,0,2.99,0,1,0,1,0,0,1,0,0,6.99,0,0,0.1,0,0,0,4.99,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0,0,0
HH1C4,Control,Dry_Heath,2024,19.98,5,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.98,0,0,0.1,0,0,1,0,0,5,0,0,3,0,1,0,1,0,1,5,0,0,14.99,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
GS3T1,Treatment,Dry_Grassland,2024,6.97,0,0,9.95,0,0,6.97,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0.1,0,19.9,0.1,1,1,1,0,0,0,0,0,0,0,0,2.99,0,6.97,0,0.1,0.1,2.99,0,4.98,9.95,0,0,6.97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,2.99,0,0,0
GS3C1,Control,Dry_Grassland,2024,0,0,0,0,0,0,0.99,0,0.99,0.99,0,0,0,0,0,0.99,0,0,2.98,0.99,0.99,4.97,0,4.97,2.98,0,0,0,0,0,0,0.99,9.93,0,0,0.99,9.93,0,0,2.98,0.99,24.83,0,0,0,0,0,0,0,2.98,0,0,2.98,0,0,0.1,0.99,0,0,0.1,0.99,0.1,0.99,0.99,2.98,0,0.99,0,0.1,0,0,2.98,0,0.99,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2.98,0,0,0.1,0,0,0,0,0,0.99,0.99,0,0.99
GS3T2,Treatment,Dry_Grassland,2024,5,0,0,0,0,0,3,0.1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,3,5,0,5,1,0,3,0,3,0,14.99,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,3,0,0,5,0,0,14.99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0,0,1
